No	TELEX	QNC	CHUNOM	ENG
5583	ddaauf tieenz	đầu tiên	頭先	First
5584	ddaauf xanhz	đầu xanh	頭𫕹	Youth youthfulness
5585	ddaauj	đậu	豆|逗|痘|竇	to pass an examination to perch; to alight (of birds) | To park (of card) | To be on station (of ships) | (y học) variola; smallpox | bean; pea
5586	ddaauj cooz vez	đậu cô ve	豆？？	French bean
5587	ddaauj dduax	đậu đũa	豆？	Chinese pea
5588	ddaauj khaaus	đậu khấu	豆蔻	nutmeg
5589	ddaauj muaf	đậu mùa	豆？	(y học) small | pox
5590	ddaauj nanhf	đậu nành	豆？	soy | bean
5591	ddaauj phuj	đậu phụ	豆腐	soya curd
5592	ddaaur	đẩu	抖|陡	Tận đẩu tận đâu | Very far away
5593	ddaaus	đấu	鬥	peck; bushel; | to battle; to fight
5594	ddaaus bof	đấu bò	鬥𤙭	bull | fight
5595	ddaaus ddas	đấu đá	鬥跢	Struggle, attack
5596	ddaaus diuj	đấu dịu	鬥？	Show a conciliatory attitude (after aa fit of temper, a quarrel...)
5597	ddaaus giaoz huwux	đấu giao hữu	鬥交友	(thể thao) Friendly match, friendly
5598	ddaaus gias	đấu giá	鬥價	to auction
5599	ddaaus guwowmz	đấu gươm	鬥鎌	Fense, cross swords
5600	ddaaus khaaur	đấu khẩu	鬥口	to argue; to dispute
5601	ddaaus loaij	đấu loại	鬥類	(thể thao) Elimination
5602	ddaaus lys	đấu lý	鬥理	to reason
5603	ddaaus phaps	đấu pháp	鬥法	(thể thao) Play
5604	ddaaus thaauf	đấu thầu	鬥？	Bid forr contract, put in (make) a tender
5605	ddaaus thur	đấu thủ	鬥手	Contender, player (in a competition of sport, chess...)
5606	ddaaus toos	đấu tố	鬥訴	Denounce publicly (nói khái quát)
5607	ddaaus tranhz	đấu tranh	鬥爭	to struggle; to fight
5608	ddaaus tris	đấu trí	鬥智	Measure wits (with someone, with one another)
5609	ddaaus truwowngf	đấu trường	鬥場	place where public trial are held
5610	ddaaus xaor	đấu xảo	鬥巧	(cũ) như hội chợ
5611	ddaauz	đâu	丟|兜	where ; somewhere ; anywhere ; everywhere
5612	ddaauz cos	đâu có	？𣎏	Not at all
5613	ddaauz dams	đâu dám		Dare not
5614	ddaauz ddaauz	đâu đâu		Everywhere, in every place | Unfounded, not supported by facts, ide
5615	ddaauz ddaays	đâu đấy		Somewhere
5616	ddaauz ddaayz	đâu đây		Somewhere
5617	ddaauz naof	đâu nào	？芇	Nothing of the kind, not at all
5618	ddaayf	đầy	𣹓	full; filled
5619	ddaayf awpj	đầy ặp	𣹓？	như đầy ắp
5620	ddaayf awps	đầy ắp	𣹓？	brimful, plentiful
5621	ddaayf bungj	đầy bụng	𣹓䏾	Indigestion, dyspepsia
5622	ddaayf cuwx	đầy cữ	𣹓？	Having spent one's period of abstinence(người đàn bà sau khi dde?)
5623	ddaayf daayx	đầy dẫy	𣹓？	abound in
5624	ddaayf ddaayx	đầy đẫy	𣹓？	xem đẫy (láy)
5625	ddaayf ddawnj	đầy đặn	𣹓？	Plump | faced, plump | cheeked, full | faced | Upright, honourable
5626	ddaayf ddur	đầy đủ	𣹓𨇜	complete; sufficient; adequate
5627	ddaayf howiz	đầy hơi	𣹓𣱬	Flatulent
5628	ddaayf ois	đầy ói	𣹓？	Have in profusion,be choke | full with
5629	ddaayf oois	đầy ối	𣹓？	(địa phương) như đầy ói
5630	ddaayf phef	đầy phè	𣹓？	Brimful
5631	ddaayf raayx	đầy rẫy	𣹓？	xem đầy dẫy
5632	ddaayf ruootj	đầy ruột	𣹓𦛌	Be infuriated, be enraged at (by)
5633	ddaayf thangs	đầy tháng	𣹓𣎃	Exactly one month old (of a baby)
5634	ddaayf tows	đầy tớ	𣹓？	xem đày tớ
5635	ddaayf tranf	đầy tràn	𣹓？	Overflowing, overbrimming
5636	ddaayf tuooir	đầy tuổi	𣹓𢆫	Exactly one year old (of a baby)
5637	ddaayj	đậy		to cover ; to shut down
5638	ddaayj ddieemj	đậy điệm		Cover (against dust..)
5639	ddaayr	đẩy		to push; to shove; to thrust
5640	ddaayr dduwaz	đẩy đưa	？迻	
5641	ddaayr luif	đẩy lùi		cũng như đẩy lui | Roll back, push back, drive back | Check
5642	ddaayr manhj	đẩy mạnh	？孟	Push up, step up, speed up | Topush up production
5643	ddaayr ngax	đẩy ngã	？𨁟	to push down
5644	ddaays	đấy		there
5645	ddaayx	đẫy		fat
5646	ddaayx ddaf	đẫy đà		Portly, corpulent
5647	ddaayx giaacs	đẫy giấc	？聀	Sleep one's fil
5648	ddaayx tuis	đẫy túi	？襊	Line one's pocket (purse) full
5649	ddaayz	đây		here
5650	ddaayz ddaayr	đây đẩy		xem đay đảy
5651	ddaayz ddos	đây đó		Here and there
5652	ddaayz nayf	đây này		Here you are
5653	ddachs	đách		(tục) | Cunt | Not a bloody damn
5654	ddacj	đạc	踱	to measure
5655	ddacj ddieenf	đạc điền		to measure
5656	ddaf	đà	舵|馱|駝	beam; girder | impetus | Momentum
5657	ddaf ddaanj	đà đận		Dawdle, diily | dally
5658	ddaf ddieeur	đà điểu	鸵鳥	ostrich
5659	ddaf latj	Đà Lạt	多樂	Xem Lâm Đồng
5660	ddaf nawngx	Đà Nẵng		Xem Quảng Nam | Đà Nẵng
5661	ddaif	đài	台|抬	estrade; stage tower
5662	ddaif cacs	đài các	臺閣	Snobbish, affected
5663	ddaif ddieems	đài điếm	臺店	Luxurious and indecent
5664	ddaif guwowngz	đài gương	臺𦎛	Mirror's support | (văn chương) High born woman, lady
5665	ddaif kyr nieemj	đài kỷ niệm	臺紀念	memorial momment
5666	ddaif thoj	đài thọ	臺受	to bear
5667	ddaij	đại	大|代|袋	big; great; very, much
5668	ddaij bacs	đại bác	大？	Cannon, gun
5669	ddaij baij	đại bại	大敗	Suffer a bitter defeat
5670	ddaij bangf	đại bàng	大？	Eagle
5671	ddaij banr doanhz	đại bản doanh	大本營	general Headquarters
5672	ddaij bieenj	đại biện	代辦	Charge d'affaires
5673	ddaij bieens	đại biến	大變	(ít dùng) Great change
5674	ddaij bieeur	đại biểu	代表	Representative, delegate
5675	ddaij binhz	đại binh	大兵	Great army
5676	ddaij caf saz	đại cà sa	大袈裟	Verbose, diffuse
5677	ddaij chaauz	đại châu	大洲	Continent
5678	ddaij chieens	đại chiến	大戰	world war; great war
5679	ddaij chieens coongz	đại chiến công	大戰功	Great feat of arms
5680	ddaij chungs	đại chúng	大眾	the people; the masses
5681	ddaij chungs hoas	đại chúng hóa	大眾化	Popularize
5682	ddaij coongz nghieepj	đại công nghiệp	大工業	Large | scale industry
5683	ddaij coongz phuz	đại công phu	大功夫	Very elaborate
5684	ddaij cucj	đại cục	大局	cũng nói đại cuộc
5685	ddaij cuwowngz	đại cương	大綱	general idea
5686	ddaij danhz	đại danh	大名	Great fame, great renown
5687	ddaij ddamr	đại đảm	大膽	(cũ) Great cougare, audacity
5688	ddaij ddawngz khoaz	đại đăng khoa	大登科	(cũ) Graduate (from a competition | examination)
5689	ddaij dieenj	đại diện	代面	royal court | room
5690	ddaij ddieenj	đại điện	大殿	royal court | room
5691	ddaij doanhz	đại doanh	大營	như đại bản doanh
5692	ddaij duwowngz	đại dương	大洋	Ocean
5693	ddaij gianz acs	đại gian ác	大奸惡	như đại gian
5694	ddaij gianz hungf	đại gian hùng	大奸雄	Arch knave
5695	ddaij giaz	đại gia	大家	Great aristocratic family
5696	ddaij giaz ddinhf	đại gia đình	大家庭	Great family (including grandparents) | Great community
5697	ddaij giaz sucs	đại gia súc	大家畜	Cattle
5698	ddaij hanf	đại hàn	大寒	cold spell (occurring on jan, 20 | 21)
5699	ddaij hanj	đại hạn	大旱	drought
5700	ddaij hinhf	đại hình	大型	(cũ) High sriminal court
5701	ddaij hocj	đại học	大學	higher education
5702	ddaij hooij	đại hội	大會	General assembly, congress | Festival
5703	ddaij hooij ddoongf	đại hội đồng	大會同	General assembly
5704	ddaij hoongf phucs	đại hồng phúc	大洪福	Great blessing
5705	ddaij hoongf thuyr	đại hồng thủy	大洪水	Deluge
5706	ddaij hungf tinhz	đại hùng tinh	大熊星	(thiên văn) The Great Bear
5707	ddaij lucj	đại lục	大陸	continent; mainland
5708	ddaij machj	đại mạch	大麥	Barley
5709	ddaij naos	đại náo	大鬧	Raise an uproar
5710	ddaij naox	đại não	大腦	Brain
5711	ddaij nganf	đại ngàn	大？	High mountain and thick forest; jungle
5712	ddaij nghichj	đại nghịch	大逆	(cũ)High treason
5713	ddaij nghij	đại nghị	大議	Parliamentary
5714	ddaij ngoonz	đại ngôn	大言	Bombastic, talking big
5715	ddaij nguyeenz soais	đại nguyên soái	大元帥	Grand marsal
5716	ddaij nhaanz	đại nhân	大人	(cũ) you [venerable sage]. your excellency
5717	ddaij nhoz	đại nho	大儒	Great scholar
5718	ddaij soos	đại số	代數	như đại số học Algebraic
5719	ddaij soos hocj	đại số học	代數學	Algebraic
5720	ddaij suwj	đại sự	大事	Great work, important business
5721	ddaij suws	đại sứ	大使	Ambassador
5722	ddaij suws quans	đại sứ quán	大使館	Embassy
5723	ddaij tuwf	đại từ	代詞	Pronoun
5724	ddaij tuwj	đại tự	大字	Big character, big calligraphic sing
5725	ddaij tuz	đại tu	大修	Overhaul
5726	ddaij ys	đại ý	大意	gist; general idea
5727	ddais	đái	𢃄	to urinate; to have a pee; to make water
5728	ddais daamf	đái dầm	𢃄？	to wet the bed
5729	ddais dduwowngf	đái đường	𢃄糖	Be affected by diabetes mellitus
5730	ddais nhawts	đái nhắt	𢃄？	cũng viết đái rắt Be affected by micturition
5731	ddais taatj	đái tật	𢃄疾	Be ailing because of age
5732	ddais thaos	đái tháo	𢃄？	Be affected by diabetes
5733	ddais tooij	đái tội	戴罪	(ít dùng) Redeem onéfaults
5734	ddaix	đãi	逮|待	to wash; to treat
5735	ddaix ddawngf	đãi đằng	待？	treat, entertain
5736	ddaix nghiax	đãi nghĩa	？義	Great duty (toward the nation,societỵ..); great cause
5737	ddaix ngooj	đãi ngộ	待遇	to behave; to treat
5738	ddaiz	đai		to bear; to embroider | belt | Band; hoop
5739	ddaiz oocs	đai ốc		Screw nut
5740	ddaiz truyeenf	đai truyền		Driving belt
5741	ddamf	đàm	談|痰|譚|潭	(địa phương) như đờm
5742	ddamf ddaoj	đàm đạo	談道	to converse; to talk
5743	ddamf luaanj	đàm luận	談論	to discuss, to debate
5744	ddamf phans	đàm phán	談判	to negotiate, to hold diplomatic talks
5745	ddamf suyeenx	đàm suyễn	痰喘	(cũ) Asthama
5746	ddamf thoaij	đàm thoại	談話	to converse, ta talk
5747	ddamj	đạm	淡|氮	protein
5748	ddamj bacj	đạm bạc	淡薄	insipid; simple; frugal
5749	ddamr	đảm	淡薄	capable | to bear
5750	ddamr baor	đảm bảo	擔保	to guarantee
5751	ddamr ddangz	đảm đang	擔當	như đảm
5752	ddamr dduwowngz	đảm đương	擔當	to take on; to undertake
5753	ddamr nhaanj	đảm nhận	擔認	assume; to take on
5754	ddamr nhieemj	đảm nhiệm	擔任	Undertake
5755	ddamr phuj	đảm phụ	擔負	Contribution
5756	ddams	đám		mass, patch
5757	ddams bacj	đám bạc		Group of gamblers, table of gamblers
5758	ddams chays	đám cháy	𤈜？	fire
5759	ddams cuwowis	đám cưới		wedding ; marriage ceremony
5760	ddams ddoongz	đám đông	？𨒟	Crowd; mod
5761	ddams maz	đám ma	？魔	funeral; funeral procession
5762	ddams ruwowcs	đám rước		Procession
5763	ddams tangz	đám tang		như đám ma
5764	ddamz	đam	擔	(cũ, í dùng) Indulge in
5765	ddamz meez	đam mê	？迷	to indulge
5766	ddanf	đàn	彈|壇	flock; herd; drove musical intrument acoustic | to play music
5767	ddanf anhz	đàn anh	？偀	One's seniors' rank
5768	ddanf aps	đàn áp	彈壓	to repress; to suppress
5769	ddanf baauf	đàn bầu	？𤃛	Monochord | đàn bầu (monochord): Đàn bầu consists of a long piece of wood, on which is stretched a silk or brass string, which is fastened at one end to a peg and at the other to a flexible bamboo plate. The string is passed repeatedly through an open dried gourd as sound box. Although having only one string, it can emit all the sounds in the pentatonic scale. The eight notes of Vietnamese music give modulations of greater amplitudes than those obtained by any other single | stringed instrument in the world. Today, Đàn bầu is made very carefully to ensure aesthetic and sound quality. When played in public, it is often used with an electronic amplifier
5770	ddanf baf	đàn bà	？婆	woman
5771	ddanf cof	đàn cò		(địa phương) như đàn nhị
5772	ddanf ddichj	đàn địch	彈笛	Play music (nói khái quát)
5773	ddanf ddums	đàn đúm		Gang up (for gambling, dringking...)
5774	ddanf emz	đàn em	？㛪	One's juniors' rank
5775	ddanf hooif	đàn hồi	彈回	elastic, resilient
5776	ddanf huwowngz	đàn hương	檀香	Santal wood
5777	ddanf nguyeetj	đàn nguyệt	？月	Vitenamese two chord guitar
5778	ddanf nhij	đàn nhị	？二	Vietnamese two | chord fiddle | Nhi (or Co) is a sort of vertical violin with two strings of braided silk, a long handle and a sound box covered by a membrane of snake skin. With its melodious sounds, Nhi can express the subtle mood of man's soul. Due to its diversified use, Nhi is indispensable in a traditional musical orchestra
5779	ddanf oongs	đàn ống	？𨇹	Organ
5780	ddanf oongz	đàn ông	？翁	man
5781	ddanf tamz thaapj lucj	đàn tam thập lục	？三十六	Vietnamese 36 chord zither
5782	ddanf thaapj lucj	đàn thập lục	？十六	Vietnamese 16 chord zither
5783	ddanf trangf	đàn tràng		(cũ) Makeshift platfrom (for worsshipping buđha)
5784	ddanf tranhz	đàn tranh	？箏	đàn tranh | Đàn tranh is also called Đàn thập lục (16 | chord zither). The holed bottom of its box makes echọ There are different musical skills, such as vibrating, clapping, pressing, stroking....Women use it when making solo performances, playing in an orchestra, accompanying a singer, declaiming poems..
5785	ddangf	đàng		như đường
5786	ddangf ddieems	đàng điếm		Of easy virtue, light, wanton
5787	ddangf hoangf	đàng hoàng		Comfortabily off | Openly
5788	ddangf xaz	đàng xa		xem đánh đàng xa
5789	ddangr	đảng	黨	party; gang; band
5790	ddangr booj	đảng bộ	黨部	commitee of a party
5791	ddangr cuwowngz	đảng cương	黨綱	Party political program
5792	ddangr phais	đảng phái	黨派	Parties (nói khái quát)
5793	ddangr phis	đảng phí	黨費	Party dues
5794	ddangr suwr	đảng sử	黨史	Party history
5795	ddangr tichj	đảng tịch	黨籍	Party membership
5796	ddangr tinhs	đảng tính	黨性	Party character, party spirit
5797	ddangr trij	đảng trị	黨治	One party rule
5798	ddangr truwowngr	đảng trưởng	黨長	(cũ) Party leader
5799	ddangs	đáng	擋	to deserve; to merit | worthy;worth
5800	ddangs ddowif	đáng đời	當𠁀	Serving ne right, welldeserved | Worthy, honourable
5801	ddangs gias	đáng giá	當價	Giving good value for one's money, worth the money paid for
5802	ddangs keer	đáng kể	當？	noticeable, remarkable, considerable
5803	ddangs kieeps	đáng kiếp	當？	như đáng đời nghĩa 1
5804	ddangs lex	đáng lẽ	當𨤰	Ought to, normally
5805	ddangs soos	đáng số	當數	Deserve one's fate
5806	ddangs sowj	đáng sợ	當？	awesome
5807	ddangs tieenf	đáng tiền	當錢	Worth its money value, worth the money paid for it
5808	ddangs tooij	đáng tội	當罪	Proportional to one's offence
5809	ddangx tinhs	đãng tính	蕩性	Unconcerned, indifferent to what going on about one
5810	ddangx tris	đãng trí	蕩智	Absent | minded
5811	ddangz	đang	當	to be the process of | to take on the responsibility of
5812	ddangz caiz	đang cai		xem đăng cai
5813	ddangz khiz	đang khi	當欺	While
5814	ddangz taamz	đang tâm	當心	Be callous enough tọ
5815	ddangz tayz	đang tay	當𢬣	Be ruthless enough tọ
5816	ddangz thif	đang thì	當𪰛	Be in the flush of youth
5817	ddanhf	đành		Make up one's mind t, reconcile oneself to, resign oneself tọ
5818	ddanhf daj	đành dạ		Feel easy
5819	ddanhf ddachj	đành đạch		Convulsively
5820	ddanhf hanhz	đành hanh		Behave perversely, behave waywardly (thườg nói về trẻ em)
5821	ddanhf longf	đành lòng	？𢚸	satisfied; contented
5822	ddanhf phaanj	đành phận	？分	Resign oneself to one's fate; be content with one's lot
5823	ddanhf rawngf	đành rằng		Despite the fact that
5824	ddanhf vaayj	đành vậy		Can't be helped
5825	ddanhs	đánh	𢱏	to beat; to strike; to fight; to combat | To play (one's card)
5826	ddanhs baatj	đánh bật	𢱏？	Dislodge
5827	ddanhs baayx	đánh bẫy	𢱏？	Lay a trap to catch, set a snare to catch
5828	ddanhs bacj	đánh bạc	𢱏？	Gamble
5829	ddanhs baif	đánh bài	𢱏牌	Play cards
5830	ddanhs baij	đánh bại	𢱏敗	to defeat
5831	ddanhs banj	đánh bạn	𢱏伴	to make friend
5832	ddanhs baoj	đánh bạo	𢱏暴	make so bold as tọ
5833	ddanhs bar	đánh bả	𢱏？	Poison (pests...)
5834	ddanhs batj	đánh bạt	𢱏拔	Overpower
5835	ddanhs bawts	đánh bắt	𢱏扒	Catch (fish...)
5836	ddanhs bof capj	đánh bò cạp	𢱏？？	(địa phương) Shiver from cold with teeth clattering
5837	ddanhs bongs	đánh bóng	𢱏𩃳	to polish ; to shade (a drawing)
5838	ddanhs cas	đánh cá	𢱏𩵜	Catch fish with a net, fish | Bet
5839	ddanhs cawps	đánh cắp	𢱏𢲩	Filch, steal
5840	ddanhs chacs	đánh chác	𢱏？	Gamble., Fight
5841	ddanhs chens	đánh chén	𢱏𡃹	(thông tục) Have a booze, goonthe booze
5842	ddanhs cuoocj	đánh cuộc	𢱏？	như đánh cá
5843	ddanhs daayz theps	đánh dây thép	𢱏𦀊？	(cũ) như đánh điện
5844	ddanhs ddaapj	đánh đập	𢱏？	Beat, hit
5845	ddanhs ddaiz	đánh đai	𢱏？	Hoop, bind with hoops
5846	ddanhs ddangf xaz	đánh đàng xa	𢱏？？	Swing one's arms (while walking)
5847	ddanhs ddawms	đánh đắm	𢱏？	Sink (a ship)
5848	ddanhs ddieenj	đánh điện	𢱏電	Send a cable, send a telegrame, cable
5849	ddanhs ddonf	đánh đòn	𢱏杶	Cane, whip
5850	ddanhs ddooir	đánh đổi	𢱏𢬭	to exchange; to barter; to swap
5851	ddanhs ddooiz	đánh đôi	𢱏堆	(thể thao) Play a double (at tennis...)
5852	ddanhs ddoongf	đánh đồng	𢱏同	Put on the same par (in the same basket, on the same footing)
5853	ddanhs ddoongj	đánh động	𢱏？	Alert, warn
5854	ddanhs ddoongs	đánh đống	𢱏？	Gather in a neat heap
5855	ddanhs ddoor	đánh đổ	𢱏覩	Overturn, upse | Overthrow, topple
5856	ddanhs ddoos	đánh đố	𢱏？	Bet
5857	ddanhs ddownz	đánh đơn	𢱏？	Play a single (at tennis)
5858	ddanhs ddungf	đánh đùng	𢱏？	All of a sudden
5859	ddanhs ddungj	đánh đụng	𢱏？	Slaughter and share | (xem đụng)
5860	ddanhs dduooir	đánh đuổi	𢱏？	to drive off (away) ; to exped
5861	ddanhs dduz	đánh đu	𢱏？	To swing | Đánh đu diễn ra trong các hội xuân hoặc hội thu ở các làng thuộc Hà Bắc, Vĩnh Phú. Cây đu làm bằng tre, thường trồng gần nơi đình làng để trai gái tới vui chơi. Đây là dịp giúp cho trai gái được gần gũi nhau và bộc lộ tình yêu+Đánh đu (swinging) is a popular game in spring or autumn festivals in Ha Bac or Vinh Phu provinces. A swing pillar made of bamboo is planted near to the village communal house where boys and girls gather for entertainments. It is on this occasion that they get closer to one another and confide to one another more easily
